sport,season,competition_name,event_i_d,event_name_short,event_gender,competition_date,name,person_i_d,person_age_days,country,rank,snatch1,snatch1_success,snatch2,snatch2_success,snatch3,snatch3_success,cj1,cj1_success,cj2,cj2_success,cj3,cj3_success,total
Weightlifting,2024,Phuket,100017471,55kg ,Men,2024-04-01,PANG Un Chol,2065721,8474.0,PRK,1.0,115,True,118,True,120,False,147,True,152,False,152,True,270
Weightlifting,2024,Phuket,100017471,55kg ,Men,2024-04-01,CHOMCHUEN Natthawat,1546725,8281.0,THA,2.0,116,True,119,True,121,False,145,True,150,False,150,True,269
Weightlifting,2024,Phuket,100017471,55kg ,Men,2024-04-01,LAI Gia Thanh,1583370,9456.0,VIE,3.0,118,True,120,True,122,False,143,False,143,True,148,True,268
Weightlifting,2024,Phuket,100017471,55kg ,Men,2024-04-01,MINGMOON Witoon,1163283,10279.0,THA,4.0,105,True,110,False,110,False,140,True,143,True,148,False,248
Weightlifting,2024,Phuket,100017471,55kg ,Men,2024-04-01,YODAGE Dilanka Isuru Kumara,2265809,,SRI,5.0,107,True,112,True,115,False,135,True,142,False,144,False,247
Weightlifting,2024,Phuket,100017471,55kg ,Men,2024-04-01,ALPYSSOV Yernaz,2464461,,KAZ,6.0,103,True,107,False,107,True,130,False,130,True,135,False,237
Weightlifting,2024,Phuket,100017471,55kg ,Men,2024-04-01,NGO Son Dinh,1715942,8279.0,VIE,,115,True,117,False,119,False,143,False,144,False,144,False,0
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,LI Fabin,949106,11400.0,CHN,1.0,138,True,143,True,146,True,166,True,173,False,173,False,312
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,DIMOV Ivan Petkov,1821544,7790.0,BUL,,0,False,0,False,0,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,IRAWAN Eko Yuli,636333,12671.0,INA,,133,True,0,False,0,False,162,False,0,False,0,False,0
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,BARU Morea,818244,12406.0,PNG,13.0,118,True,121,True,124,True,153,True,157,False,157,True,281
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,KAO Chan-Hung,858502,11139.0,TPE,11.0,123,True,127,True,129,False,155,True,161,False,161,False,282
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,MISHVELIDZE Shota,858754,10759.0,GEO,12.0,130,False,130,False,130,True,152,True,160,False,160,False,282
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,CHEN Lijun,860572,11201.0,CHN,,140,False,140,False,143,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,BRANDHUBER Simon Josef,993408,11968.0,GER,,128,False,130,False,130,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,BARDALEZ TUISIMA Luis David,1093510,10409.0,PER,,120,False,120,False,120,False,155,True,160,False,160,False,0
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,MUHAMAD Aznil Bin Bidin,1144450,10954.0,MAS,10.0,125,True,130,False,133,False,159,True,163,False,163,False,284
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,NGUYEN Tran Anh Tuan,1144469,9536.0,VIE,,129,True,131,False,132,True,159,False,161,False,161,False,0
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,MIRZAYEV Seyitjan,1275603,10930.0,TKM,,130,False,130,False,133,False,150,False,0,False,0,False,0
