name,country,snatch1,snatch2,snatch3,cj1,cj2,cj3,total,snatch1_success,snatch2_success,snatch3_success,cj1_success,cj2_success,cj3_success
LAI Gia Thanh,VIE,118,120,122,143,143,148,268,True,True,False,False,True,True
CHOMCHUEN Natthawat,THA,116,119,121,145,150,150,269,True,True,False,True,False,True
PANG Un Chol,PRK,115,118,120,147,152,152,270,True,True,False,True,False,True
NGO Son Dinh,VIE,115,117,119,143,144,144,0,True,False,False,False,False,False
YODAGE Dilanka Isuru Kumara,SRI,107,112,115,135,142,144,247,True,True,False,True,False,False
ALPYSSOV Yernaz,KAZ,103,107,107,130,130,135,237,True,False,True,False,True,False
MINGMOON Witoon,THA,105,110,110,140,143,148,248,True,False,False,True,True,False
LI Fabin,CHN,138,143,146,166,173,173,312,True,True,True,True,False,False
IRAWAN Eko Yuli,INA,133,0,0,162,0,0,0,True,False,False,False,False,False
NGUYEN Tran Anh Tuan,VIE,129,131,132,159,161,161,0,True,False,True,False,False,False
CENIZA John Febuar,PHI,130,132,134,163,166,168,300,True,True,False,True,True,True
TRINH Van Vinh,VIE,129,131,133,163,163,165,294,True,True,False,False,True,False
PAK Myong Jin,PRK,131,131,131,165,170,170,301,False,False,True,True,False,True
CHOMCHUEN Teerapat,THA,126,130,132,161,165,165,291,True,True,False,True,False,False
MISHVELIDZE Shota,GEO,130,130,130,152,160,160,282,False,False,True,True,False,False
SILACHAI Theerapong,THA,125,128,130,162,167,171,299,True,True,False,True,True,True
KAO Chan-Hung,TPE,123,127,129,155,161,161,282,True,True,False,True,False,False
MORRIS Hampton Miller,USA,124,127,130,169,172,176,303,True,True,False,False,True,True
ALSALEEM Seraj Abdulrahim M,KSA,126,130,130,161,161,164,0,True,False,False,False,False,False
MUHAMAD Aznil Bin Bidin,MAS,125,130,133,159,163,163,284,True,False,False,True,False,False
MOHAMAD ANIQ Bin Kasdan,MAS,125,125,125,165,165,172,290,False,False,True,False,True,False
BARU Morea,PNG,118,121,124,153,157,157,281,True,True,True,True,False,True
CALDERON LICOURT Arley Lazaro,CUB,122,127,127,163,168,172,285,True,False,False,True,False,False
GUEMEZ CEL Victor Badur,MEX,112,117,120,140,145,148,262,True,True,False,True,True,False
BIN HAJI ABU BAKAR Mohammad Nashrul,BRU,99,99,101,127,127,127,0,False,True,True,False,False,False
NIYOYITA Davis,UGA,90,95,98,123,125,125,221,True,True,True,True,False,False
